UniprotID_inString,brite
P43363,Domain-containing proteins not elsewhere classified
P39019,Ribosome
O95299,none
O76094,Secretion system
Q7KZF4,none
Q14152,Translation factors
Q49B96,Mitochondrial biogenesis
not found,#N/A
Q08J23,Transfer RNA biogenesis
Q13049,Ubiquitin system
O43395,Spliceosome
P46459,Membrane trafficking
Q9Y224,Transfer RNA biogenesis
Q92876,Peptidases and inhibitors
Q9BUT1,Enzymes
not found,#N/A
Q9BRD0,Spliceosome
Q6P2Q9,Spliceosome
Q15029,Spliceosome
Q9Y3F4,Spliceosome
Q92900,Messenger RNA biogenesis
not found,#N/A
Q01970,Membrane trafficking
P08708,Ribosome
P18621,Ribosome
P09496,Membrane trafficking
P62899,Ribosome
Q96PK6,none
P36578,Ribosome
Q92499,Spliceosome
Q00839,Spliceosome
P37108,Secretion system
P62277,Ribosome
O14686,Chromosome and associated proteins
Q9BUQ8,Spliceosome
Q9NVD7,Cytoskeleton proteins
Q9ULC4,Messenger RNA biogenesis
O75569,Chromosome and associated proteins
P13984,Transcription machinery
Q9BYD1,Ribosome
P18124,Ribosome
Q96IZ0,none
Q86W50,Messenger RNA biogenesis
Q53H12,Enzymes
P13747,Exosome
Q9H9J2,Ribosome
P62140,Protein phosphatases and associated proteins
not found,#N/A
Q53H12,Enzymes
Q9BUQ8,Spliceosome
Q9P2E9,none
Q6P2E9,Messenger RNA biogenesis
Q92841,Spliceosome
P14317,Membrane trafficking
Q9Y224,Transfer RNA biogenesis
P62316,Spliceosome
O00422,Messenger RNA biogenesis
P27797,Chaperones and folding catalysts
Q15393,Transcription machinery
O76080,Domain-containing proteins not elsewhere classified
P36578,Ribosome
Q9BZZ5,none
Q9P258,none
Q8N983,Ribosome
O75306,Enzymes
not found,#N/A
P83916,Chromosome and associated proteins
Q9Y2W1,Spliceosome
Q14197,Translation factors
not found,#N/A
Q9Y383,Spliceosome
P53582,Peptidases and inhibitors
Q13242,Spliceosome
P12270,Messenger RNA biogenesis
Q15029,Spliceosome
O94906,Spliceosome
Q6P1N0,Exosome
Q15020,Spliceosome
Q96T37,Messenger RNA biogenesis
Q86UX7,Exosome
not found,#N/A
Q8IZH2,Messenger RNA biogenesis
Q96DI7,Spliceosome
P62280,Ribosome
O95169,none
Q8NFH5,Messenger RNA biogenesis
not found,#N/A
Q86TI0,Membrane trafficking
Q96I24,Messenger RNA biogenesis
Q6P1M3,Membrane trafficking
Q9Y295,Enzymes
not found,#N/A
O15371,Translation factors
P05455,none
Q53H12,Enzymes
O43684,Spliceosome
Q00610,Membrane trafficking
Q9Y4P3,Translation factors
P61313,Ribosome
Q5SRE5,Messenger RNA biogenesis
O95400,Protein phosphatases and associated proteins
Q9NXU5,GTP-binding proteins
Q9NS86,none
O94906,Spliceosome
P13987,Exosome
Q14839,Chromosome and associated proteins
O00203,Membrane trafficking
O75533,Spliceosome
Q16740,Peptidases and inhibitors
Q9UQB8,Membrane trafficking
P61160,Membrane trafficking
Q6ZRP7,Enzymes
P61160,Membrane trafficking
P43358,Domain-containing proteins not elsewhere classified
P62269,Ribosome
Q9BYD3,Ribosome
Q9UJ14,Peptidases and inhibitors
O00217,Enzymes
P10451,none
Q9NRF8,Enzymes
Q9NZB2,none
P68400,Protein kinases
Q05D32,Protein phosphatases and associated proteins
Q9BXP5,none
Q8IVL6,Chaperones and folding catalysts
O95865,Exosome
Q9Y3A3,none
O95169,none
Q92896,none
Q86V21,Lipid biosynthesis proteins
P05141,Mitochondrial biogenesis
not found,#N/A
Q9H9J2,Ribosome
P36957,Enzymes
not found,#N/A
P46783,Ribosome
P52907,Membrane trafficking
Q99615,Chaperones and folding catalysts
Q9NWS8,Mitochondrial biogenesis
Q9Y333,Messenger RNA biogenesis
P51397,none
O75489,Enzymes
Q9Y6B6,Membrane trafficking
O43678,none
P00367,Exosome
not found,#N/A
P42766,Ribosome
P39019,Ribosome
P54259,none
Q9HCS7,Messenger RNA biogenesis
P54727,Proteasome
P84090,none
not found,#N/A
P31943,Spliceosome
P15880,Ribosome
Q15424,Spliceosome
P62266,Ribosome
P50151,GTP-binding proteins
O43148,Messenger RNA biogenesis
Q7L1Q6,none
Q9H8V3,Membrane trafficking
P50570,Membrane trafficking
Q9BRP8,Messenger RNA biogenesis
Q8TAF3,DNA repair and recombination proteins
Q9P0U1,Membrane trafficking
Q9H223,Membrane trafficking
Q9UKV3,Messenger RNA biogenesis
Q16718,none
P39023,Ribosome
P49207,Ribosome
P19525,Protein kinases
P14866,Spliceosome
Q96G03,Enzymes
Q15370,Ubiquitin system
P84098,Ribosome
P83731,Ribosome
Q07955,Spliceosome
P62263,Ribosome
not found,#N/A
P85037,Transcription factors
Q9UNS1,Chromosome and associated proteins
Q9ULE4,none
P23396,Ribosome
Q15393,Transcription machinery
O43670,none
P62081,Ribosome
O75351,Membrane trafficking
O75955,Membrane trafficking
P18887,DNA repair and recombination proteins
P10155,none
Q5JTV8,Chaperones and folding catalysts
Q8WWM9,Transporters
Q8IZ83,none
Q15365,Messenger RNA biogenesis
P23919,Enzymes
Q9GZT6,none
Q8TAE8,none
O76070,Transporters
Q9UPQ0,Domain-containing proteins not elsewhere classified
not found,#N/A
Q7Z3B4,Messenger RNA biogenesis
O75608,Enzymes
not found,#N/A
Q8WXI9,Transcription factors
P61011,Secretion system
Q13084,Ribosome
Q02543,Ribosome
Q9HD42,Membrane trafficking
Q8NAV1,Spliceosome
Q7L5N1,Ubiquitin system
O43181,none
Q9BXP5,none
Q6P1N0,Exosome
Q15365,Messenger RNA biogenesis
P37198,Messenger RNA biogenesis
O14920,Protein kinases
not found,#N/A
P43243,Spliceosome
P53384,none
not found,#N/A
Q9UBI6,Exosome
Q9NQG5,Transcription machinery
Q9P2B4,none
Q92973,Messenger RNA biogenesis
O75436,Membrane trafficking
P52597,Spliceosome
P50479,Domain-containing proteins not elsewhere classified
Q00577,Transcription factors
Q12824,Protein phosphatases and associated proteins
O95299,none
Q9Y2W1,Spliceosome
Q14258,Ubiquitin system
Q8NEY8,Chromosome and associated proteins
Q9HD33,Ribosome
Q9H3K2,Transporters
Q9Y6M9,none
Q13619,Ubiquitin system
Q9Y250,none
P63241,Translation factors
O15042,Spliceosome
P55735,Messenger RNA biogenesis
P47914,Ribosome
P38606,Enzymes
Q9BSJ8,none
P62847,Ribosome
Q92945,Messenger RNA biogenesis
P47914,Ribosome
O60884,Chaperones and folding catalysts
P61158,Membrane trafficking
P43304,Enzymes
O75688,Protein phosphatases and associated proteins
Q9UKF6,Transcription machinery
P42766,Ribosome
P61978,Spliceosome
O43583,Messenger RNA biogenesis
O15042,Spliceosome
not found,#N/A
P30153,Protein phosphatases and associated proteins
O15042,Spliceosome
O43432,Messenger RNA biogenesis
Q9NX63,Protein phosphatases and associated proteins
O15144,Membrane trafficking
Q15029,Spliceosome
Q9Y3B9,none
P60866,Ribosome
O60264,Transcription machinery
O95182,none
Q8WUM4,Membrane trafficking
Q9H0U6,Ribosome
Q9NVS9,Enzymes
P49458,Secretion system
P23284,Chaperones and folding catalysts
P49750,Protein phosphatases and associated proteins
not found,#N/A
P25685,Chaperones and folding catalysts
not found,#N/A
not found,#N/A
Q13405,Ribosome
P13861,none
Q9P2I0,Messenger RNA biogenesis
Q9NUP9,Membrane trafficking
P27348,DNA repair and recombination proteins
Q14498,Spliceosome
P11021,Chaperones and folding catalysts
Q00577,Transcription factors
Q10570,Transcription machinery
O95793,Protein phosphatases and associated proteins
Q16718,none
Q13263,Protein kinases
Q2TAY7,Spliceosome
O60256,none
Q15437,Membrane trafficking
Q8WUM9,Transporters
Q8TF01,Spliceosome
P43304,Enzymes
not found,#N/A
Q99798,Enzymes
Q9Y2W2,Protein phosphatases and associated proteins
Q96EY7,Mitochondrial biogenesis
Q9BYD2,Ribosome
P67809,Transcription factors
P41219,Cytoskeleton proteins
Q9H9J2,Ribosome
P20042,Protein phosphatases and associated proteins
P37108,Secretion system
P42677,Ribosome
Q96A33,Chaperones and folding catalysts
P62917,Ribosome
not found,#N/A
Q92552,Ribosome
P38159,Spliceosome
P52907,Membrane trafficking
P23284,Chaperones and folding catalysts
P82673,Ribosome
not found,#N/A
O75718,Chaperones and folding catalysts
O75821,Translation factors
P61163,Chromosome and associated proteins
Q9NVG8,Membrane trafficking
P23284,Chaperones and folding catalysts
P54725,Proteasome
O15145,Membrane trafficking
Q00610,Membrane trafficking
not found,#N/A
P27635,Ribosome
Q13113,none
O60264,Transcription machinery
Q9Y5Q8,Transcription machinery
Q96DI7,Spliceosome
P62244,Ribosome
O43464,Peptidases and inhibitors
Q969G3,Transcription machinery
O95232,none
Q96EP5,Messenger RNA biogenesis
Q5ST30,Amino acid related enzymes
P46940,Cytoskeleton proteins
O95487,Membrane trafficking
Q10570,Transcription machinery
P23919,Enzymes
P48735,Enzymes
not found,#N/A
P62857,Ribosome
Q14653,Transcription factors
Q14687,none
P63244,Messenger RNA biogenesis
Q96I25,Spliceosome
Q9NR09,Peptidases and inhibitors
P21266,Transporters
Q9ULC4,Messenger RNA biogenesis
P82673,Ribosome
Q9Y262,Translation factors
O60341,Chromosome and associated proteins
Q96AE4,Messenger RNA biogenesis
P61106,Membrane trafficking
O76094,Secretion system
P62701,Ribosome
Q9UN37,Membrane trafficking
P31947,Exosome
Q96GU1,none
P61962,Ubiquitin system
Q8N8S7,none
not found,#N/A
P31946,DNA repair and recombination proteins
P09668,Peptidases and inhibitors
not found,#N/A
Q92499,Spliceosome
Q07817,Protein phosphatases and associated proteins
Q12972,Protein phosphatases and associated proteins
Q6L8Q7,Messenger RNA biogenesis
not found,#N/A
O00571,Messenger RNA biogenesis
Q15293,Domain-containing proteins not elsewhere classified
Q93009,Peptidases and inhibitors
O00303,Translation factors
Q9HCS7,Messenger RNA biogenesis
Q02040,Spliceosome
not found,#N/A
Q14839,Chromosome and associated proteins
Q9H1E3,none
P13667,Chaperones and folding catalysts
not found,#N/A
Q07817,Protein phosphatases and associated proteins
Q96DV4,Ribosome
P51148,Membrane trafficking
P52594,Messenger RNA biogenesis
Q9P0M9,Ribosome
P27695,DNA repair and recombination proteins
P09429,Chromosome and associated proteins
Q4KWH8,Membrane trafficking
Q06124,Protein phosphatases and associated proteins
Q9UH65,Membrane trafficking
Q6PKG0,Messenger RNA biogenesis
Q8WWH5,Transfer RNA biogenesis
Q9H444,Membrane trafficking
O75351,Membrane trafficking
Q9NR30,Ribosome biogenesis
O43678,none
Q16630,Messenger RNA biogenesis
P62993,Membrane trafficking
P11413,Exosome
Q8IXJ6,Chromosome and associated proteins
Q07817,Protein phosphatases and associated proteins
Q92879,Spliceosome
Q49A26,none
P82930,Ribosome
Q9Y676,Ribosome
P50995,Secretion system
Q15004,none
Q01167,Transcription factors
P29144,Peptidases and inhibitors
O15145,Membrane trafficking
Q14697,Enzymes
O43583,Messenger RNA biogenesis
Q9Y4W6,Peptidases and inhibitors
O95168,none
P50552,Cytoskeleton proteins
O75694,Messenger RNA biogenesis
Q9NSD9,Amino acid related enzymes
P60981,Cytoskeleton proteins
O43670,none
Q96DI7,Spliceosome
O75400,Spliceosome
Q6IN85,Protein phosphatases and associated proteins
P62851,Ribosome
P62266,Ribosome
Q8IWX8,Spliceosome
not found,#N/A
Q9UBV8,Domain-containing proteins not elsewhere classified
P05198,Translation factors
Q96ES7,Transcription machinery
P27338,Enzymes
Q9NX24,Ribosome biogenesis
P62851,Ribosome
Q8N4C8,Protein kinases
Q16718,none
Q9Y6W5,Cytoskeleton proteins
P26196,Messenger RNA biogenesis
Q96EY7,Mitochondrial biogenesis
O95983,Chromosome and associated proteins
Q14232,Translation factors
P10809,Messenger RNA biogenesis
O15144,Membrane trafficking
O60256,none
Q9BYD1,Ribosome
Q9BYN8,Ribosome
Q96EY4,Ribosome biogenesis
Q8N5N7,Ribosome
P67809,Transcription factors
Q9BT78,Ubiquitin system
Q08211,Spliceosome
Q9BYD3,Ribosome
P43034,Chromosome and associated proteins
Q9P015,Ribosome
Q9UN37,Membrane trafficking
not found,#N/A
P50995,Secretion system
P00390,Enzymes
P22314,Ubiquitin system
Q9NYK5,Ribosome
P48444,Membrane trafficking
P49406,Ribosome
Q9H0E2,Exosome
P40429,Ribosome
P08865,Ribosome
Q96PE7,Enzymes
Q9HCE1,Messenger RNA biogenesis
Q99439,none
Q15393,Transcription machinery
Q15437,Membrane trafficking
P55957,none
Q8N1G4,none
O75976,Peptidases and inhibitors
Q96A35,Ribosome
Q14118,none
Q92541,Transcription machinery
Q01970,Membrane trafficking
Q92538,Membrane trafficking
Q9NYF8,Spliceosome
Q13084,Ribosome
P82673,Ribosome
Q92688,Messenger RNA biogenesis
Q8IWX8,Spliceosome
not found,#N/A
Q15369,Ubiquitin system
Q9BUJ2,none
Q16629,Spliceosome
P42285,Messenger RNA biogenesis
O60508,Spliceosome
P34932,Chaperones and folding catalysts
P55084,Enzymes
Q2TAY7,Spliceosome
P61981,Protein phosphatases and associated proteins
Q9BQ39,Spliceosome
Q9Y5M8,Secretion system
Q8N983,Ribosome
Q8TCC3,Ribosome
P63279,Ubiquitin system
Q9BYD3,Ribosome
Q9HAV7,Chaperones and folding catalysts
P30041,Enzymes
Q9NRL3,Protein phosphatases and associated proteins
Q15291,Chromosome and associated proteins
Q9Y3B7,Ribosome
Q96I24,Messenger RNA biogenesis
Q9NW64,Spliceosome
Q8NCG7,Enzymes
not found,#N/A
P49790,Messenger RNA biogenesis
Q9P015,Ribosome
Q8WUM4,Membrane trafficking
Q53F19,none
Q96T37,Messenger RNA biogenesis
Q92615,Messenger RNA biogenesis
O60885,Protein kinases
Q92817,Cytoskeleton proteins
P20073,Secretion system
P49959,DNA replication proteins
Q6KC79,Chromosome and associated proteins
Q9NVI1,DNA repair and recombination proteins
Q12905,Spliceosome
Q9Y3I0,Transfer RNA biogenesis
Q9NYL9,Cytoskeleton proteins
Q92973,Messenger RNA biogenesis
Q9NRX2,Ribosome
P19525,Protein kinases
Q96GC5,Ribosome
Q5T9A4,Mitochondrial biogenesis
Q8WUM0,Messenger RNA biogenesis
O94776,Transcription factors
not found,#N/A
O15042,Spliceosome
Q8TAQ2,Transcription machinery
Q96AY3,Chaperones and folding catalysts
Q9UKV3,Messenger RNA biogenesis
O00422,Messenger RNA biogenesis
P31930,Peptidases and inhibitors
P80303,Membrane trafficking
P35573,Enzymes
P28340,DNA replication proteins
P51858,Glycosaminoglycan binding proteins
Q14118,none
O75175,Messenger RNA biogenesis
P14866,Spliceosome
P13489,none
P49916,DNA repair and recombination proteins
Q8WXX5,Chaperones and folding catalysts
Q8NI27,Messenger RNA biogenesis
P22626,Messenger RNA biogenesis
Q14139,Ubiquitin system
O75083,Domain-containing proteins not elsewhere classified
Q92769,Chromosome and associated proteins
P15531,Membrane trafficking
Q9P015,Ribosome
P46779,Ribosome
P23193,Transcription machinery
P49406,Ribosome
Q03252,Cytoskeleton proteins
Q86VY4,Chromosome and associated proteins
P82933,Ribosome
Q6P2Q9,Spliceosome
O15372,Translation factors
O95433,Chaperones and folding catalysts
Q9Y2S7,Mitochondrial biogenesis
P09651,Messenger RNA biogenesis
P23246,Protein phosphatases and associated proteins
P35613,Exosome
Q9UBH6,Transporters
Q16630,Messenger RNA biogenesis
P21281,Exosome
not found,#N/A
Q92541,Transcription machinery
Q9NQG5,Transcription machinery
Q15020,Spliceosome
not found,#N/A
P37108,Secretion system
O60610,Cytoskeleton proteins
Q9H4A6,Membrane trafficking
Q9Y3I0,Transfer RNA biogenesis
P62847,Ribosome
Q9H2M9,Membrane trafficking
O95182,none
not found,#N/A
Q05519,Spliceosome
P49116,Transcription factors
O75822,Ribosome biogenesis
Q86X76,Enzymes
not found,#N/A
O15143,Membrane trafficking
not found,#N/A
Q9UQR0,Chromosome and associated proteins
P53992,Membrane trafficking
P80303,Membrane trafficking
Q96A35,Ribosome
Q6DD87,none
Q32MZ4,Transcription factors
Q9HCG8,Spliceosome
P63220,Ribosome
Q13283,Messenger RNA biogenesis
not found,#N/A
P50570,Membrane trafficking
not found,#N/A
P18754,Messenger RNA biogenesis
P39687,Messenger RNA biogenesis
Q02218,Enzymes
Q9UPN6,Transcription machinery
Q7Z2W9,Ribosome
P84103,Spliceosome
P53999,Transcription machinery
not found,#N/A
Q96HS1,Enzymes
P29372,DNA repair and recombination proteins
Q9Y6M9,none
Q6IBS0,Cilium and associated proteins
O15382,Amino acid related enzymes
Q92665,Ribosome
O60256,none
not found,#N/A
P60228,Translation factors
Q92621,Messenger RNA biogenesis
Q8WU90,none
P35241,Cytoskeleton proteins
Q9NQR4,Enzymes
P61221,Ribosome biogenesis
not found,#N/A
Q9H6Z4,none
P27635,Ribosome
O75643,Spliceosome
Q16204,none
P13667,Chaperones and folding catalysts
P10515,Enzymes
Q01167,Transcription factors
Q9UJZ1,Transporters
Q96FW1,Peptidases and inhibitors
Q9Y5V0,none
Q06210,Peptidases and inhibitors
not found,#N/A
Q14258,Ubiquitin system
Q8TD43,Ion channels
Q8NHH9,Membrane trafficking
P11021,Chaperones and folding catalysts
O75380,none
Q8WUF5,none
Q8IX12,Transcription machinery
Q96EY7,Mitochondrial biogenesis
P62993,Membrane trafficking
Q8NCH0,Glycosyltransferases
Q9UKD2,Ribosome biogenesis
P07741,Exosome
P49790,Messenger RNA biogenesis
Q8TCS8,Messenger RNA biogenesis
Q9Y3D9,Ribosome
A5YKK6,Messenger RNA biogenesis
Q9NY12,Ribosome biogenesis
Q02878,Ribosome
P49720,Peptidases and inhibitors
P14406,none
P49821,Enzymes
P62906,Ribosome
P61011,Secretion system
P46199,Translation factors
Q96GG9,Ubiquitin system
Q9Y285,Amino acid related enzymes
Q9P2E9,none
Q92797,Transcription machinery
Q00059,Mitochondrial biogenesis
Q9Y383,Spliceosome
P62258,DNA repair and recombination proteins
Q15427,Spliceosome
Q03111,Transcription machinery
P31948,Chaperones and folding catalysts
not found,#N/A
P04632,Peptidases and inhibitors
Q3KQV9,Enzymes
P12270,Messenger RNA biogenesis
Q16186,Proteasome
Q96A33,Chaperones and folding catalysts
Q9Y3D9,Ribosome
Q9UNH7,Membrane trafficking
Q04837,DNA replication proteins
Q8WWM7,Messenger RNA biogenesis
P42574,Peptidases and inhibitors
Q969X6,Ribosome biogenesis
Q29RF7,Chromosome and associated proteins
Q9P0M9,Ribosome
Q9UQ80,none
Q9Y3D3,Ribosome
P46013,Protein phosphatases and associated proteins
P82650,Ribosome
P56556,none
P39880,#N/A
O60841,Translation factors
O95817,Chaperones and folding catalysts
P12235,Mitochondrial biogenesis
O94905,Ubiquitin system
Q07960,Membrane trafficking
P26599,Messenger RNA biogenesis
O60832,Ribosome biogenesis
O75781,none
Q92922,Transcription machinery
Q9NRX2,Ribosome
Q9H1E3,none
O94880,none
Q9Y6D9,Chromosome and associated proteins
P61513,Ribosome
not found,#N/A
P39748,DNA replication proteins
Q9BPU6,none
Q32P28,Chaperones and folding catalysts
P09211,Transporters
not found,#N/A
P42126,Enzymes
O76094,Secretion system
P23284,Chaperones and folding catalysts
O75955,Membrane trafficking
O15027,Membrane trafficking
P56545,Membrane trafficking
Q13505,Mitochondrial biogenesis
O00541,Ribosome biogenesis
Q9UGI8,Domain-containing proteins not elsewhere classified
Q9Y3D3,Ribosome
not found,#N/A
Q92766,Transcription factors
Q9NRG7,none
P48643,Chaperones and folding catalysts
P32519,Transcription factors
O75569,Chromosome and associated proteins
Q14197,Translation factors
P35270,Exosome
P49327,Lipid biosynthesis proteins
Q13526,Transcription machinery
P56537,Ribosome biogenesis
not found,#N/A
Q5ST30,Amino acid related enzymes
Q13573,Spliceosome
Q92499,Spliceosome
O43447,Spliceosome
Q99584,Domain-containing proteins not elsewhere classified
not found,#N/A
not found,#N/A
P23528,Membrane trafficking
P56182,Protein phosphatases and associated proteins
O60884,Chaperones and folding catalysts
Q7Z2W9,Ribosome
Q9BYD3,Ribosome
Q8IWX8,Spliceosome
Q8WU76,none
Q5T9A4,Mitochondrial biogenesis
P09960,Peptidases and inhibitors
Q86XP3,Spliceosome
Q5T653,Ribosome
Q96CP2,none
O75400,Spliceosome
P51398,Ribosome
P62995,Protein phosphatases and associated proteins
Q02880,DNA replication proteins
Q9NP79,Membrane trafficking
Q9NWB6,Spliceosome
P82673,Ribosome
O95169,none
not found,#N/A
O75937,Spliceosome
Q14192,Domain-containing proteins not elsewhere classified
Q9BRD0,Spliceosome
O75431,Mitochondrial biogenesis
Q9HD33,Ribosome
Q8WUA2,Spliceosome
Q9BTD8,Domain-containing proteins not elsewhere classified
not found,#N/A
P46940,Cytoskeleton proteins
Q96EV2,Domain-containing proteins not elsewhere classified
O94888,Ubiquitin system
Q13610,Ribosome biogenesis
P45974,Peptidases and inhibitors
Q15185,Enzymes
Q8TD55,Domain-containing proteins not elsewhere classified
P10644,none
P14406,none
Q9Y3F4,Spliceosome
P32322,Enzymes
Q15056,Messenger RNA biogenesis
O15355,Protein phosphatases and associated proteins
Q86WA6,Enzymes
Q9NWU5,Ribosome
O60216,Chromosome and associated proteins
Q9BYD6,Ribosome
Q86SE5,Domain-containing proteins not elsewhere classified
Q6IBW4,Chromosome and associated proteins
P35269,Transcription machinery
not found,#N/A
Q9Y3F4,Spliceosome
Q16718,none
O15031,none
P06400,Protein phosphatases and associated proteins
Q5T1S7,#N/A
P09543,Exosome
Q9UBT2,Ubiquitin system
